site;Mean Annual Temp;Max Annual Temp;Min Annual Temp;Total Precipitation;Degree Days >0;Degree Days <0;Average Wind Speed;Total Sun Hours;Total Sun Days;Frost-free Days
BAN;-12.8;-9.5;-16;151.5;461.3;5117.8;NA;1641.9;201.6;57
CAM;-13.9;-10.4;17.3;141.7;636.3;5661.2;19.6;1729.7;NA;66
CHU;-6.5;-2.3;-10.5;452.7;1277.6;3610.1;20.7;1799.5;271.1;87
GOO;0;5;-5;940.4;1952.8;1917.1;15;1644.7;274.4;110
IQA;-9.3;-5.6;-13.1;403.7;695.1;4052.3;15.7;1476.8;250.5;74
KUG;-10.3;6.1;14.4;247.2;916.5;4621.3;15.4;1821.7;NA;64
MOO;-0.5;5.5;-6.4;703.6;2059.8;2185.9;NA;1810.7;288;58
NOR;-5.1;-0.4;-9.9;294.4;1866.5;3699.5;10.1;1852;NA;106
SCH;-5.3;-0.4;-10.2;792.1;1383.5;2806.6;16.9;1566.6;NA;84
TOM;-4.1;2.1;-10.3;324.4;1827.1;3314.2;NA;NA;NA;70
YEL;-4.3;0;-8.6;288.6;1813.3;3343.1;12.8;2256.5;277.2;115
HAZ;-17.7;-14.4;-21;158.3;199.5;6625.5;9.5;1901.6;164;5
